Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor,CurBarBuyVol,CurBarSellVol,CurBarTotalVol,CurBarDelta,CurBarMaxSeen,CurBarMinSeen,CurBarRange,CurBarBodyPct,CurBarOpen,CurBarHigh,CurBarLow,CurBarClose,PrevBarBuyVol,PrevBarSellVol,PrevBarTotalVol,PrevBarDelta,PrevBarMaxSeen,PrevBarMinSeen,PrevBarRange,PrevBarBodyPct,PrevBar30sAggDelta,PrevBar30sTradeCount,PrevBarAbsorbRatio,IntraAbsorbRatio,CumDelta5Bars,CumDelta10Bars,HTFEmaValue,HTFEmaSlope,HTFEmaDir,H2_HourlyVolBaseline,H2_PrevBarVolMultiple,ATRValue
20260817 220001 065,4474.90,1,4474.20,4475.40,1.20,4474.20,1,4474.10,1,4473.90,1,4473.70,1,4473.10,3,4473.00,2,4472.80,2,4472.20,2,4471.70,1,4471.40,1,4475.40,2,4475.50,2,4475.70,2,4476.40,2,4476.50,2,4477.50,2,4478.00,2,4478.40,2,4478.90,1,4479.00,2,Buy,6,4,10,2.00,3.00,-1.00,2.40,62.5,4473.40,4475.60,4473.20,4474.90,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.5000,-8.00,0.00,4471.41,0.2434,UP,40.00,1.2250,0.7952
20260817 220001 065,4475.00,1,4474.20,4475.40,1.20,4474.20,1,4474.10,1,4473.90,1,4473.70,1,4473.10,3,4473.00,2,4472.80,2,4472.20,2,4471.70,1,4471.40,1,4475.40,2,4475.50,2,4475.70,2,4476.40,2,4476.50,2,4477.50,2,4478.00,2,4478.40,2,4478.90,1,4479.00,2,Buy,7,4,11,3.00,3.00,-1.00,2.40,66.7,4473.40,4475.60,4473.20,4475.00,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-7.00,1.00,4471.42,0.2465,UP,40.00,1.2250,0.7952
20260817 220001 369,4475.50,1,4474.90,4475.70,0.80,4474.90,1,4474.80,1,4474.60,2,4474.40,1,4474.20,1,4474.00,1,4473.70,2,4473.40,2,4473.10,2,4473.00,2,4475.70,2,4475.80,2,4476.10,2,4476.20,2,4476.40,2,4476.50,2,4476.90,1,4477.50,2,4478.00,2,4478.40,2,Buy,8,4,12,4.00,4.00,-1.00,2.40,87.5,4473.40,4475.60,4473.20,4475.50,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-6.00,2.00,4471.46,0.2624,UP,40.00,1.2250,0.7952
20260817 220001 424,4475.10,1,4474.30,4475.50,1.20,4474.30,1,4474.20,1,4474.00,1,4473.80,3,4473.40,2,4473.10,2,4473.00,2,4472.80,2,4472.20,2,4472.10,1,4475.50,1,4475.60,3,4475.70,2,4475.80,2,4476.20,2,4476.40,2,4476.50,2,4477.50,2,4478.00,2,4478.40,2,Sell,8,5,13,3.00,4.00,-1.00,2.40,70.8,4473.40,4475.60,4473.20,4475.10,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.3333,-7.00,1.00,4471.42,0.2497,UP,40.00,1.2250,0.7952
20260817 220001 959,4475.90,1,4474.80,4475.70,0.90,4474.80,1,4474.70,2,4474.50,1,4474.30,3,4473.60,2,4473.40,2,4473.10,2,4473.00,2,4472.80,2,4472.20,2,4475.70,1,4475.80,1,4475.90,3,4476.20,2,4476.40,2,4476.50,2,4476.60,1,4477.50,2,4478.00,2,4478.40,2,Buy,9,5,14,4.00,4.00,-1.00,2.70,92.6,4473.40,4475.90,4473.20,4475.90,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-6.00,2.00,4471.50,0.2751,UP,40.00,1.2250,0.8167
20260817 220001 967,4475.30,1,4474.80,4475.70,0.90,4474.80,1,4474.70,2,4474.50,1,4474.30,3,4473.60,2,4473.40,2,4473.10,2,4473.00,2,4472.80,2,4472.20,2,4475.70,1,4475.80,1,4475.90,3,4476.20,2,4476.40,2,4476.50,2,4476.60,1,4477.50,2,4478.00,2,4478.40,2,Sell,9,6,15,3.00,4.00,-1.00,2.70,70.4,4473.40,4475.90,4473.20,4475.30,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.3333,-7.00,1.00,4471.44,0.2561,UP,40.00,1.2250,0.8167
20260817 220002 335,4474.80,1,4474.80,4475.90,1.10,4474.80,1,4474.70,2,4474.30,3,4473.40,2,4473.10,2,4473.00,2,4472.80,2,4472.20,2,4472.10,1,4471.70,1,4475.90,1,4476.00,1,4476.10,2,4476.20,2,4476.30,2,4476.40,2,4476.50,2,4476.60,1,4477.50,2,4478.00,2,Sell,9,7,16,2.00,4.00,-1.00,2.70,51.9,4473.40,4475.90,4473.20,4474.80,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,1.0000,-8.00,0.00,4471.40,0.2402,UP,40.00,1.2250,0.8167
20260817 220002 335,4474.70,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,8,17,1.00,4.00,-1.00,2.70,48.1,4473.40,4475.90,4473.20,4474.70,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,3.0000,-9.00,-1.00,4471.39,0.2370,UP,40.00,1.2250,0.8167
20260817 220002 335,4474.70,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,9,18,0.00,4.00,-1.00,2.70,48.1,4473.40,4475.90,4473.20,4474.70,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,4.0000,-10.00,-2.00,4471.39,0.2370,UP,40.00,1.2250,0.8167
20260817 220002 335,4474.30,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,10,19,-1.00,4.00,-1.00,2.70,33.3,4473.40,4475.90,4473.20,4474.30,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-11.00,-3.00,4471.35,0.2243,UP,40.00,1.2250,0.8167
20260817 220002 335,4474.30,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,11,20,-2.00,4.00,-2.00,2.70,33.3,4473.40,4475.90,4473.20,4474.30,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-12.00,-4.00,4471.35,0.2243,UP,40.00,1.2250,0.8167
20260817 220002 335,4474.30,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,12,21,-3.00,4.00,-3.00,2.70,33.3,4473.40,4475.90,4473.20,4474.30,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-13.00,-5.00,4471.35,0.2243,UP,40.00,1.2250,0.8167
20260817 220002 335,4473.40,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,13,22,-4.00,4.00,-4.00,2.70,0.0,4473.40,4475.90,4473.20,4473.40,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-14.00,-6.00,4471.26,0.1958,UP,40.00,1.2250,0.8167
20260817 220002 335,4473.40,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,14,23,-5.00,4.00,-5.00,2.70,0.0,4473.40,4475.90,4473.20,4473.40,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-15.00,-7.00,4471.26,0.1958,UP,40.00,1.2250,0.8167
20260817 220002 335,4473.10,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,15,24,-6.00,4.00,-6.00,2.80,10.7,4473.40,4475.90,4473.10,4473.10,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-16.00,-8.00,4471.23,0.1862,UP,40.00,1.2250,0.8167
20260817 220002 335,4473.10,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,16,25,-7.00,4.00,-7.00,2.80,10.7,4473.40,4475.90,4473.10,4473.10,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-17.00,-9.00,4471.23,0.1862,UP,40.00,1.2250,0.8167
20260817 220002 335,4473.00,1,4473.30,4475.10,1.80,4473.30,1,4473.20,1,4473.10,1,4472.90,1,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4475.10,1,4475.20,1,4475.30,2,4475.50,1,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,4478.00,2,Sell,9,17,26,-8.00,4.00,-8.00,2.90,13.8,4473.40,4475.90,4473.00,4473.00,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-18.00,-10.00,4471.22,0.1831,UP,40.00,1.2250,0.8238
20260817 220002 381,4473.90,1,4473.30,4475.10,1.80,4473.30,1,4473.20,2,4472.80,3,4472.20,2,4471.80,1,4470.50,1,4470.40,2,4470.30,1,4470.00,1,4469.20,1,4474.40,1,4474.50,1,4474.60,1,4474.70,1,4474.90,1,4475.10,1,4475.30,2,4475.70,2,4476.40,2,4476.50,2,Buy,10,17,27,-7.00,4.00,-8.00,2.90,17.2,4473.40,4475.90,4473.00,4473.90,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.1429,-17.00,-9.00,4471.31,0.2116,UP,40.00,1.2250,0.8238
20260817 220007 249,4473.90,1,4473.90,4474.80,0.90,4473.90,2,4473.60,1,4473.40,1,4473.20,2,4473.10,1,4473.00,1,4472.80,3,4472.20,2,4470.70,2,4470.50,2,4474.80,2,4475.00,1,4475.10,1,4475.30,3,4475.50,2,4475.70,2,4476.40,2,4476.50,2,4477.20,1,4477.50,2,Buy,11,17,28,-6.00,4.00,-8.00,2.90,17.2,4473.40,4475.90,4473.00,4473.90,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.3333,-16.00,-8.00,4471.31,0.2116,UP,40.00,1.2250,0.8238
20260817 220007 328,4473.90,2,4473.10,4473.50,0.40,4473.10,1,4473.00,1,4472.80,3,4472.40,2,4472.30,3,4472.20,2,4471.60,2,4470.70,2,4470.50,2,4470.40,2,4473.50,2,4474.00,1,4474.10,2,4474.30,2,4474.50,2,4474.70,1,4474.80,1,4475.10,1,4475.30,2,4475.50,2,Sell,11,19,30,-8.00,4.00,-8.00,2.90,17.2,4473.40,4475.90,4473.00,4473.90,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-18.00,-10.00,4471.31,0.2116,UP,40.00,1.2250,0.8238
20260817 220007 744,4473.50,1,4473.10,4473.50,0.40,4473.10,1,4473.00,1,4472.80,3,4472.40,2,4472.30,3,4472.20,2,4471.60,2,4470.70,2,4470.50,2,4470.40,2,4473.50,1,4474.10,2,4474.30,2,4474.50,2,4474.70,1,4474.80,1,4475.10,1,4475.30,2,4475.50,2,4476.40,2,Buy,12,19,31,-7.00,4.00,-8.00,2.90,3.4,4473.40,4475.90,4473.00,4473.50,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.1429,-17.00,-9.00,4471.27,0.1989,UP,40.00,1.2250,0.8238
20260817 220007 745,4473.50,1,4473.10,4473.50,0.40,4473.10,1,4473.00,1,4472.80,3,4472.40,2,4472.30,3,4472.20,2,4471.60,2,4470.70,2,4470.50,2,4470.40,2,4473.50,1,4474.10,2,4474.30,2,4474.50,2,4474.70,1,4474.80,1,4475.10,1,4475.30,2,4475.50,2,4476.40,2,Buy,13,19,32,-6.00,4.00,-8.00,2.90,3.4,4473.40,4475.90,4473.00,4473.50,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.3333,-16.00,-8.00,4471.27,0.1989,UP,40.00,1.2250,0.8238
20260817 220013 061,4474.10,1,4473.60,4474.80,1.20,4473.60,1,4473.40,2,4473.30,2,4473.20,2,4473.10,1,4473.00,1,4472.80,3,4472.30,3,4472.20,2,4471.70,2,4474.80,1,4475.00,1,4475.30,3,4475.50,2,4475.70,2,4476.00,2,4476.10,2,4476.40,2,4476.50,3,4477.00,1,Sell,13,20,33,-7.00,4.00,-8.00,2.90,24.1,4473.40,4475.90,4473.00,4474.10,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.1429,-17.00,-9.00,4471.33,0.2180,UP,40.00,1.2250,0.8238
20260817 220016 400,4473.60,1,4473.30,4474.90,1.60,4473.30,3,4473.20,3,4473.10,2,4473.00,1,4472.80,3,4472.70,1,4472.30,3,4472.20,2,4471.70,2,4471.30,2,4474.90,1,4475.00,1,4475.20,1,4475.30,3,4475.70,2,4476.00,2,4476.10,2,4476.40,2,4476.50,4,4477.00,1,Sell,13,21,34,-8.00,4.00,-8.00,2.90,6.9,4473.40,4475.90,4473.00,4473.60,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-18.00,-10.00,4471.28,0.2021,UP,40.00,1.2250,0.8238
20260817 220016 400,4473.40,1,4473.30,4474.90,1.60,4473.30,3,4473.20,3,4473.10,2,4473.00,1,4472.80,3,4472.70,1,4472.30,3,4472.20,2,4471.70,2,4471.30,2,4474.90,1,4475.00,1,4475.20,1,4475.30,3,4475.70,2,4476.00,2,4476.10,2,4476.40,2,4476.50,4,4477.00,1,Sell,13,22,35,-9.00,4.00,-9.00,2.90,0.0,4473.40,4475.90,4473.00,4473.40,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-19.00,-11.00,4471.26,0.1958,UP,40.00,1.2250,0.8238
